                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87506,                 1.6169,                 2.0046,                 1.2298,                0.37415,                0.49515,                0.40824,                0.28454,                  0.382,                0.48181,                0.38238,                 0.2427,                0.95724,                 2.3646,                 2.0579,                 1.3627,             0.00036888,             0.00036888,             0.00036888
                      2,                 1.0543,                 1.8414,                 1.5435,                  1.343,                0.41496,                0.56038,                0.45311,                0.30539,                0.40723,                  0.546,                0.44429,                0.26352,                  1.115,                 2.5082,                 1.8005,                 1.4664,             0.00066603,             0.00066603,             0.00066603
                      3,                 1.0344,                  1.836,                 1.4383,                  1.328,                0.54979,                 0.6288,                0.62603,                0.46169,                0.54384,                0.61934,                0.61616,                0.42649,                0.90421,                 1.7023,                 1.5233,                 1.2345,             0.00088985,             0.00088985,             0.00088985
                      4,                0.92267,                 1.6172,                 1.2216,                 1.2387,                0.66363,                0.72921,                0.72668,                0.56018,                0.66206,                0.72722,                0.73058,                0.53421,                0.82184,                  1.346,                 1.1973,                 1.1638,             0.00078103,             0.00078103,             0.00078103
                      5,                 0.8764,                 1.5349,                 1.1438,                  1.205,                0.66417,                0.69669,                0.73475,                0.59311,                0.65828,                0.68278,                0.72893,                0.54373,                0.73016,                 1.4223,                 1.2504,                 1.1062,             0.00078103,             0.00078103,             0.00078103
                      6,                0.77569,                 1.3656,                0.99136,                 1.1329,                0.71853,                0.76724,                0.80645,                0.65214,                0.71322,                0.76103,                0.80053,                0.63043,                0.72969,                  1.139,                 1.1044,                 1.0817,             0.00067104,             0.00067104,             0.00067104
                      7,                0.71867,                 1.2418,                0.89528,                 1.0991,                0.77178,                0.72465,                0.80788,                0.66506,                0.75336,                 0.7079,                0.79788,                0.64531,                0.64194,                 1.0695,                0.91834,                  1.062,             0.00056105,             0.00056105,             0.00056105
                      8,                0.66065,                 1.1353,                0.78817,                 1.0595,                0.83137,                0.80031,                0.87667,                   0.76,                0.83561,                0.80077,                0.87815,                0.72624,                 0.5602,                0.95752,                0.74911,                0.98704,             0.00045107,             0.00045107,             0.00045107
                      9,                0.60372,                 1.0523,                0.69452,                 1.0235,                0.83155,                0.82533,                0.89906,                0.79146,                0.83249,                0.82686,                0.90043,                0.76431,                0.51013,                0.84991,                  0.723,                0.96665,             0.00034108,             0.00034108,             0.00034108
                     10,                0.55088,                0.96831,                0.61889,                0.98678,                 0.8674,                0.85733,                0.91869,                0.82833,                0.86931,                0.85862,                0.92087,                0.79704,                0.47187,                 0.8196,                0.60882,                0.95127,             0.00023109,             0.00023109,             0.00023109
